Date,Country,Type,Cases
3/21/2020,Azerbaijan,Critical,0
3/21/2020,Azerbaijan,Per1M,5
3/22/2020,Azerbaijan,Confirmed,65
3/22/2020,Azerbaijan,Deaths,1
3/22/2020,Azerbaijan,Recovered,11
3/22/2020,Azerbaijan,Critical,0
3/22/2020,Azerbaijan,Per1M,6
3/23/2020,Azerbaijan,Confirmed,72
3/23/2020,Azerbaijan,Deaths,1
3/23/2020,Azerbaijan,Recovered,10
3/23/2020,Azerbaijan,Critical,3
3/23/2020,Azerbaijan,Per1M,7
3/17/20,Bahamas,Confirmed,1
3/17/20,Bahamas,Deaths,0
3/17/20,Bahamas,Recovered,0
3/17/20,Bahamas,Critical,0
3/17/20,Bahamas,Per1M,3
3/18/20,Bahamas,Confirmed,3
3/18/20,Bahamas,Deaths,0
3/18/20,Bahamas,Recovered,0
3/18/20,Bahamas,Critical,0
3/18/20,Bahamas,Per1M,3
3/18/20,Bahamas,Confirmed,3
3/18/20,Bahamas,Deaths,0
3/18/20,Bahamas,Recovered,0
3/18/20,Bahamas,Critical,0
3/18/20,Bahamas,Per1M,3
3/19/2020,Bahamas,Confirmed,4
3/19/2020,Bahamas,Deaths,0
3/19/2020,Bahamas,Recovered,0
3/19/2020,Bahamas,Critical,0
3/19/2020,Bahamas,Per1M,8
3/20/2020,Bahamas,Confirmed,4
3/20/2020,Bahamas,Deaths,0
3/20/2020,Bahamas,Recovered,0
3/20/2020,Bahamas,Critical,0
3/20/2020,Bahamas,Per1M,10
3/21/2020,Bahamas,Confirmed,4
3/21/2020,Bahamas,Deaths,0
3/21/2020,Bahamas,Recovered,0
3/21/2020,Bahamas,Critical,0
3/21/2020,Bahamas,Per1M,10
3/22/2020,Bahamas,Confirmed,4
3/22/2020,Bahamas,Deaths,0
3/22/2020,Bahamas,Recovered,0
3/22/2020,Bahamas,Critical,0
3/22/2020,Bahamas,Per1M,10
3/23/2020,Bahamas,Confirmed,4
3/23/2020,Bahamas,Deaths,0
3/23/2020,Bahamas,Recovered,0
3/23/2020,Bahamas,Critical,0
3/23/2020,Bahamas,Per1M,10
3/17/20,Bahrain,Confirmed,256
3/17/20,Bahrain,Deaths,1
3/17/20,Bahrain,Recovered,88
3/17/20,Bahrain,Critical,3
3/17/20,Bahrain,Per1M,142
3/18/20,Bahrain,Confirmed,278
3/18/20,Bahrain,Deaths,1
3/18/20,Bahrain,Recovered,95
3/18/20,Bahrain,Critical,3
3/18/20,Bahrain,Per1M,150
3/18/20,Bahrain,Confirmed,278
3/18/20,Bahrain,Deaths,1
3/18/20,Bahrain,Recovered,95
3/18/20,Bahrain,Critical,3
3/18/20,Bahrain,Per1M,150
3/19/2020,Bahrain,Confirmed,298
3/19/2020,Bahrain,Deaths,1
3/19/2020,Bahrain,Recovered,110
3/19/2020,Bahrain,Critical,4
3/19/2020,Bahrain,Per1M,163
3/20/2020,Bahrain,Confirmed,310
3/20/2020,Bahrain,Deaths,1
3/20/2020,Bahrain,Recovered,125
3/20/2020,Bahrain,Critical,4
3/20/2020,Bahrain,Per1M,175
3/21/2020,Bahrain,Confirmed,334
3/21/2020,Bahrain,Deaths,2
3/21/2020,Bahrain,Recovered,125
3/21/2020,Bahrain,Critical,4
3/21/2020,Bahrain,Per1M,182
3/22/2020,Bahrain,Confirmed,334
3/22/2020,Bahrain,Deaths,2
3/22/2020,Bahrain,Recovered,149
3/22/2020,Bahrain,Critical,3
3/22/2020,Bahrain,Per1M,196
3/23/2020,Bahrain,Confirmed,339
3/23/2020,Bahrain,Deaths,2
3/23/2020,Bahrain,Recovered,160
3/23/2020,Bahrain,Critical,3
3/23/2020,Bahrain,Per1M,199
3/17/20,Bangladesh,Confirmed,14
3/17/20,Bangladesh,Deaths,1
3/17/20,Bangladesh,Recovered,3
3/17/20,Bangladesh,Critical,0
3/17/20,Bangladesh,Per1M,0.06
3/18/20,Bangladesh,Confirmed,18
3/18/20,Bangladesh,Deaths,1
3/18/20,Bangladesh,Recovered,3
3/18/20,Bangladesh,Critical,0
3/18/20,Bangladesh,Per1M,0.09
3/18/20,Bangladesh,Confirmed,18
3/18/20,Bangladesh,Deaths,1
3/18/20,Bangladesh,Recovered,3
3/18/20,Bangladesh,Critical,0
3/18/20,Bangladesh,Per1M,0.09
3/19/2020,Bangladesh,Confirmed,20
3/19/2020,Bangladesh,Deaths,1
3/19/2020,Bangladesh,Recovered,3
3/19/2020,Bangladesh,Critical,0
3/19/2020,Bangladesh,Per1M,0.1
3/20/2020,Bangladesh,Confirmed,24
3/20/2020,Bangladesh,Deaths,2
3/20/2020,Bangladesh,Recovered,3
3/20/2020,Bangladesh,Critical,1
3/20/2020,Bangladesh,Per1M,0.1
3/21/2020,Bangladesh,Confirmed,27
3/21/2020,Bangladesh,Deaths,2
3/21/2020,Bangladesh,Recovered,3
3/21/2020,Bangladesh,Critical,0
3/21/2020,Bangladesh,Per1M,0.1
3/22/2020,Bangladesh,Confirmed,27
3/22/2020,Bangladesh,Deaths,2
3/22/2020,Bangladesh,Recovered,3
3/22/2020,Bangladesh,Critical,0
3/22/2020,Bangladesh,Per1M,0.2
3/23/2020,Bangladesh,Confirmed,33
3/23/2020,Bangladesh,Deaths,3
3/23/2020,Bangladesh,Recovered,5
3/23/2020,Bangladesh,Critical,0
3/23/2020,Bangladesh,Per1M,0.2
3/17/20,Barbados,Confirmed,2
3/17/20,Barbados,Deaths,0
3/17/20,Barbados,Recovered,0
3/17/20,Barbados,Critical,0
3/17/20,Barbados,Per1M,7
3/18/20,Barbados,Confirmed,5
3/18/20,Barbados,Deaths,0
3/18/20,Barbados,Recovered,0
3/18/20,Barbados,Critical,0
3/18/20,Barbados,Per1M,7
3/18/20,Barbados,Confirmed,5
3/18/20,Barbados,Deaths,0
3/18/20,Barbados,Recovered,0
3/18/20,Barbados,Critical,0
3/18/20,Barbados,Per1M,7
3/19/2020,Barbados,Confirmed,6
3/19/2020,Barbados,Deaths,0
3/19/2020,Barbados,Recovered,0
3/19/2020,Barbados,Critical,0
3/19/2020,Barbados,Per1M,17
3/20/2020,Barbados,Confirmed,14
3/20/2020,Barbados,Deaths,0
3/20/2020,Barbados,Recovered,0
3/20/2020,Barbados,Critical,0
3/20/2020,Barbados,Per1M,21
3/21/2020,Barbados,Confirmed,14
3/21/2020,Barbados,Deaths,0
3/21/2020,Barbados,Recovered,0
3/21/2020,Barbados,Critical,0
3/21/2020,Barbados,Per1M,49
3/22/2020,Barbados,Confirmed,14
3/22/2020,Barbados,Deaths,0
3/22/2020,Barbados,Recovered,0
3/22/2020,Barbados,Critical,0
3/22/2020,Barbados,Per1M,49
3/23/2020,Barbados,Confirmed,17
3/23/2020,Barbados,Deaths,0
3/23/2020,Barbados,Recovered,0
3/23/2020,Barbados,Critical,0
3/23/2020,Barbados,Per1M,59
3/17/20,Belarus,Confirmed,51
3/17/20,Belarus,Deaths,0
3/17/20,Belarus,Recovered,3
3/17/20,Belarus,Critical,0
3/17/20,Belarus,Per1M,4
3/18/20,Belarus,Confirmed,51
3/18/20,Belarus,Deaths,0
3/18/20,Belarus,Recovered,5
3/18/20,Belarus,Critical,0
3/18/20,Belarus,Per1M,5
3/18/20,Belarus,Confirmed,51
3/18/20,Belarus,Deaths,0
3/18/20,Belarus,Recovered,5
3/18/20,Belarus,Critical,0
3/18/20,Belarus,Per1M,5
3/19/2020,Belarus,Confirmed,69
3/19/2020,Belarus,Deaths,0
3/19/2020,Belarus,Recovered,5
3/19/2020,Belarus,Critical,0
3/19/2020,Belarus,Per1M,5
3/20/2020,Belarus,Confirmed,76
3/20/2020,Belarus,Deaths,0
3/20/2020,Belarus,Recovered,15
3/20/2020,Belarus,Critical,0
3/20/2020,Belarus,Per1M,7
3/21/2020,Belarus,Confirmed,76
3/21/2020,Belarus,Deaths,0
3/21/2020,Belarus,Recovered,15
3/21/2020,Belarus,Critical,0
3/21/2020,Belarus,Per1M,8
3/22/2020,Belarus,Confirmed,76
3/22/2020,Belarus,Deaths,0
3/22/2020,Belarus,Recovered,15
3/22/2020,Belarus,Critical,0
3/22/2020,Belarus,Per1M,8
3/23/2020,Belarus,Confirmed,81
3/23/2020,Belarus,Deaths,0
3/23/2020,Belarus,Recovered,22
3/23/2020,Belarus,Critical,0
3/23/2020,Belarus,Per1M,9
3/17/20,Belgium,Confirmed,1486
3/17/20,Belgium,Deaths,14
3/17/20,Belgium,Recovered,14
3/17/20,Belgium,Critical,33
3/17/20,Belgium,Per1M,107
3/18/20,Belgium,Confirmed,1795
3/18/20,Belgium,Deaths,21
3/18/20,Belgium,Recovered,31
3/18/20,Belgium,Critical,33
3/18/20,Belgium,Per1M,128
3/18/20,Belgium,Confirmed,1795
3/18/20,Belgium,Deaths,21
3/18/20,Belgium,Recovered,31
3/18/20,Belgium,Critical,33
3/18/20,Belgium,Per1M,128
3/19/2020,Belgium,Confirmed,2257
3/19/2020,Belgium,Deaths,37
3/19/2020,Belgium,Recovered,165
3/19/2020,Belgium,Critical,130
3/19/2020,Belgium,Per1M,155
3/20/2020,Belgium,Confirmed,2815
3/20/2020,Belgium,Deaths,67
3/20/2020,Belgium,Recovered,204
3/20/2020,Belgium,Critical,164
3/20/2020,Belgium,Per1M,195
3/21/2020,Belgium,Confirmed,3401
3/21/2020,Belgium,Deaths,75
3/21/2020,Belgium,Recovered,263
3/21/2020,Belgium,Critical,288
3/21/2020,Belgium,Per1M,243
3/22/2020,Belgium,Confirmed,3401
3/22/2020,Belgium,Deaths,75
3/22/2020,Belgium,Recovered,263
3/22/2020,Belgium,Critical,288
3/22/2020,Belgium,Per1M,293
3/23/2020,Belgium,Confirmed,3743
3/23/2020,Belgium,Deaths,88
3/23/2020,Belgium,Recovered,401
3/23/2020,Belgium,Critical,322
3/23/2020,Belgium,Per1M,323
3/17/20,Benin,Confirmed,2
3/17/20,Benin,Deaths,0
3/17/20,Benin,Recovered,0
3/17/20,Benin,Critical,0
3/17/20,Benin,Per1M,0.08
3/18/20,Benin,Confirmed,2
3/18/20,Benin,Deaths,0
3/18/20,Benin,Recovered,0
3/18/20,Benin,Critical,0
3/18/20,Benin,Per1M,0.2
3/18/20,Benin,Confirmed,2
3/18/20,Benin,Deaths,0
3/18/20,Benin,Recovered,0
3/18/20,Benin,Critical,0
3/18/20,Benin,Per1M,0.2
3/19/2020,Benin,Confirmed,2
3/19/2020,Benin,Deaths,0
3/19/2020,Benin,Recovered,0
3/19/2020,Benin,Critical,0
3/19/2020,Benin,Per1M,0.2
