Date,State,Type,Cases
3/19/2020,New Jersey,Recovered,0
3/20/2020,New Jersey,Confirmed,890
3/20/2020,New Jersey,Deaths,11
3/20/2020,New Jersey,Recovered,0
3/21/2020,New Jersey,Confirmed,"1,327"
3/21/2020,New Jersey,Deaths,16
3/21/2020,New Jersey,Recovered,
3/22/2020,New Jersey,Confirmed,"1,327"
3/22/2020,New Jersey,Deaths,16
3/22/2020,New Jersey,Recovered,
3/17/2020,New Mexico,Confirmed,10
3/17/2020,New Mexico,Deaths,0
3/17/2020,New Mexico,Recovered,0
3/18/2020,New Mexico,Confirmed,28
3/18/2020,New Mexico,Deaths,0
3/18/2020,New Mexico,Recovered,0
3/19/2020,New Mexico,Confirmed,35
3/19/2020,New Mexico,Deaths,0
3/19/2020,New Mexico,Recovered,0
3/20/2020,New Mexico,Confirmed,43
3/20/2020,New Mexico,Deaths,0
3/20/2020,New Mexico,Recovered,0
3/21/2020,New Mexico,Confirmed,43
3/21/2020,New Mexico,Deaths,0
3/21/2020,New Mexico,Recovered,0
3/22/2020,New Mexico,Confirmed,43
3/22/2020,New Mexico,Deaths,0
3/22/2020,New Mexico,Recovered,0
3/17/2020,New York,Confirmed,"1,374"
3/17/2020,New York,Deaths,12
3/17/2020,New York,Recovered,0
3/18/2020,New York,Confirmed,2481
3/18/2020,New York,Deaths,16
3/18/2020,New York,Recovered,1
3/19/2020,New York,Confirmed,"5,711"
3/19/2020,New York,Deaths,38
3/19/2020,New York,Recovered,1
3/20/2020,New York,Confirmed,"8,403"
3/20/2020,New York,Deaths,46
3/20/2020,New York,Recovered,0
3/21/2020,New York,Confirmed,"10,356"
3/21/2020,New York,Deaths,56
3/21/2020,New York,Recovered,1
3/22/2020,New York,Confirmed,"10,356"
3/22/2020,New York,Deaths,56
3/22/2020,New York,Recovered,1
3/17/2020,North Carolina,Confirmed,40
3/17/2020,North Carolina,Deaths,0
3/17/2020,North Carolina,Recovered,0
3/18/2020,North Carolina,Confirmed,71
3/18/2020,North Carolina,Deaths,0
3/18/2020,North Carolina,Recovered,0
3/19/2020,North Carolina,Confirmed,129
3/19/2020,North Carolina,Deaths,0
3/19/2020,North Carolina,Recovered,0
3/20/2020,North Carolina,Confirmed,187
3/20/2020,North Carolina,Deaths,0
3/20/2020,North Carolina,Recovered,0
3/21/2020,North Carolina,Confirmed,187
3/21/2020,North Carolina,Deaths,0
3/21/2020,North Carolina,Recovered,
3/22/2020,North Carolina,Confirmed,187
3/22/2020,North Carolina,Deaths,0
