Date,Country,Type,Cases
3/19/2020,Bahamas,Critical,
3/19/2020,Bahamas,Recovered,
3/20/2020,Bahamas,Confirmed,3
3/20/2020,Bahamas,Deaths,0
3/20/2020,Bahamas,Critical,0
3/20/2020,Bahamas,Recovered,0
3/21/2020,Bahamas,Confirmed,4
3/21/2020,Bahamas,Deaths,0
3/21/2020,Bahamas,Critical,N/A
3/21/2020,Bahamas,Recovered,N/A
3/22/2020,Bahamas,Confirmed,4
3/22/2020,Bahamas,Deaths,0
3/22/2020,Bahamas,Critical,N/A
3/22/2020,Bahamas,Recovered,N/A
3/17/2020,Bahrain,Confirmed,242
3/17/2020,Bahrain,Deaths,1
3/17/2020,Bahrain,Critical,3
3/17/2020,Bahrain,Recovered,88
3/18/2020,Bahrain,Confirmed,242
3/18/2020,Bahrain,Deaths,1
3/18/2020,Bahrain,Critical,3
3/18/2020,Bahrain,Recovered,88
3/19/2020,Bahrain,Confirmed,279
