Date,State,ConfirmedToDate,NewConfirmed,PrevNewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,PrevNewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,Critical,NewCritical,NewCritical_2DayAvg,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000,DaysInCritical,DaysInCritical5,DaysInCritical100,DaysInCritical250,DaysInCritical000
3/19/2020,Illinois,422,134,128,1.5,131,1.5,4,3,0,0.2,1.5,0.5,2,0,0,0,416,3,3,3,2,0,3,0,0,0,0,0,0,0,0,1
3/20/2020,Illinois,585,163,134,1.8,148.5,2.0,5,1,3,2.8,2,1.4,2,0,0,0,578,4,4,4,3,0,4,1,0,0,0,0,0,0,0,1
3/21/2020,Illinois,753,168,163,2.4,165.5,2.4,6,1,1,3.5,1,3.5,2,0,0,0,745,5,5,5,4,0,5,2,0,0,0,0,0,0,0,1
3/22/2020,Illinois,1049,296,168,1.8,232,2.2,9,3,1,1.4,2,2.1,2,0,0,0,1038,6,6,6,5,1,6,3,0,0,0,0,0,0,0,1
3/17/20,Indiana,30,30,0,1.0,30,1.0,2,2,0,1.0,2,1.0,,0,0,0,28,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3/18/20,Indiana,30,0,30,,15,,2,0,2,,1,,,0,0,0,28,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1
3/19/2020,Indiana,56,26,0,0.8,13,1.5,2,0,0,,0,,,0,0,0,54,3,3,0,0,0,3,0,0,0,0,0,0,0,0,1
3/20/2020,Indiana,79,23,26,1.6,24.5,1.5,3,1,0,1.4,0.5,2.8,,0,0,0,76,4,4,0,0,0,4,0,0,0,0,0,0,0,0,1
3/21/2020,Indiana,126,47,23,1.1,35,1.5,4,1,1,2.1,1,2.1,,0,0,0,122,5,5,1,0,0,5,0,0,0,0,0,0,0,0,1
3/22/2020,Indiana,201,75,47,1.1,61,1.4,6,2,1,1.4,1.5,1.9,,0,0,0,195,6,6,2,0,0,6,1,0,0,0,0,0,0,0,1
3/17/20,Iowa,29,29,0,1.0,29,1.0,0,0,0,1.0,0,1.0,,0,0,0,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Iowa,29,0,29,,14.5,,0,0,0,,0,,,0,0,0,29,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Iowa,44,15,0,1.4,7.5,2.7,0,0,0,,0,,,0,0,0,44,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Iowa,45,1,15,30.8,8,3.8,0,0,0,,0,,,0,0,0,45,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Iowa,68,23,1,1.4,12,2.6,0,0,0,,0,,,0,0,0,68,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1
